,Unnamed: 0,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value,uniprot_mouse,uniprot_daphnia
4267,36421,204,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,,Rassf2,-6.448190212249756,7.55574437789619e-05,8.653225336274772e-07,0.00015825974696781486,3.833225772673599e-33,Q8BMS9,
4268,28784,188,facs,3m,18m,female,Trachea,,chondrocyte,Purb,-6.447990417480469,8.078196697169915e-05,9.252847235075023e-07,0.00013587284774985164,6.716839667061858e-07,O35295,E9FVL2
4269,31442,189,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Keap1,-6.447733879089356,6.207139085745439e-05,7.110980959623703e-07,9.62189442361705e-05,1.3039679573058961e-13,Q9Z2X8,E9G1S5
4270,3001,576,droplet,3m,24m,male,Kidney,,,Cd79a,6.447614192962647,2.343744563404471e-05,0.002045669825747609,0.0021089150104671717,0.0,P11911,
4271,15371,639,droplet,3m,30m,male,Liver,,,Kng2,-6.447525978088379,0.00015381211414933202,1.7623474377614914e-06,0.00021981433383189142,8.673495938530405e-44,,
4272,15372,640,droplet,3m,30m,male,Liver,,,Il1rap,-6.446734428405763,0.00012855982640758157,1.4738201343789117e-06,0.00018267949053552,3.8205757036960557e-44,Q61730,
4273,15373,641,droplet,3m,30m,male,Liver,,,Srgn,6.446102619171143,9.147167475020979e-06,0.0007975480984896421,0.000546645256690681,0.0,P13609,
4274,23064,156,droplet,3m,18m,male,,,,Reg3g,-6.444993019104004,0.00018868483311962336,2.1657115212292406e-06,0.002299669431522489,1.169660856092692e-27,O09049,
4275,15374,642,droplet,3m,30m,male,Liver,,,Mfsd2a,-6.443696975708008,3.217088305973448e-05,3.6958613236492965e-07,0.00010169735469389708,7.236800852895043e-06,Q9DA75,
4276,15375,643,droplet,3m,30m,male,Lung,,,Slc7a10,-6.442961692810059,0.00011534067016327754,1.3257370028441073e-06,0.00025804591132327914,2.0724756863700808e-88,P63115,E9FUW2
4277,15376,644,droplet,3m,30m,male,Lung,,,Ecm2,-6.442595958709718,7.093535532476379e-05,8.155442969837169e-07,0.00018285926489625126,1.1827321180517461e-63,Q5FW85,
4278,23065,157,droplet,3m,18m,female,,,,Psapl1,-6.441347599029541,8.406429515162017e-06,9.673157563838686e-08,6.808301986893639e-05,4.727998143301921e-09,Q8C1C1,
4279,25079,222,droplet,3m,30m,male,,,,Myl1,6.440063953399657,4.1798296024353476e-07,3.629209095379338e-05,0.00102622015401721,1.5140548422945404e-10,P05977,
